timestamp,turn,input_tokens,output_tokens,total_tokens,token_budget,summarization_triggered,l1_tokens,l2_tokens,raw_buffer_len,latency_seconds,tokens_per_second
2026-02-13T02:06:15,1,48,8,56,130816,0,0,0,0,0.6598,12.12
2026-02-13T02:06:40,2,72,383,455,130816,0,0,0,2,10.8282,35.37
2026-02-13T02:07:19,3,474,185,659,130816,0,0,0,4,5.1487,35.93
2026-02-13T02:08:05,4,674,435,1109,130816,0,0,0,6,12.4229,35.02
2026-02-13T02:11:04,5,1127,512,1639,130816,0,0,0,8,14.3595,35.66
2026-02-13T02:17:41,1,48,8,56,768,0,0,0,0,0.8606,9.3
2026-02-13T02:18:10,2,71,512,583,768,0,0,0,2,13.926,36.77
2026-02-13T02:19:16,3,599,512,1111,768,0,0,0,4,14.7643,34.68
2026-02-13T02:20:03,4,781,8,789,768,1,0,191,2,0.3445,23.22
2026-02-13T02:20:27,5,277,11,288,768,1,0,191,2,0.521,21.11
2026-02-13T02:20:48,6,305,22,327,768,1,0,191,4,0.6934,31.73
2026-02-13T02:21:15,7,342,73,415,768,1,0,191,6,2.2338,32.68
2026-02-13T02:35:25,8,48,8,56,768,1,0,191,8,0.4899,16.33
